star_name,Nobs,model_offset_transition,err_stat_transition,err_sys_transition,chisq_nu_transition
HD19467,7,0.3117447619798551,5.831563506560211,16.76242705349474,0.5224957678645245
HD196761,14,24.21200926146232,3.1103789916438767,16.76242705349474,2.4115779410375726
HD197818,1,-10.116620905259026,15.13614500520672,16.76242705349474,nan
HD199960,22,-8.902038332934872,3.5362438484583048,16.76242705349474,1.3790521705985355
HD203432,3,-43.27687938936309,11.006049437976563,16.76242705349474,1.5415755354511198
HD20407,13,-7.621309203675492,3.9657132360726686,16.76242705349474,0.8509935591990662
HD204385,5,13.753045273662313,8.54209877748154,16.76242705349474,0.4626543543459401
HD205536,2,12.269815487963843,11.04011286650833,16.76242705349474,0.06054607657671719
HD20619,8,-7.902374112872477,4.71286060181286,16.76242705349474,2.1069618747933374
HD2071,4,13.68923082343537,8.42640307070388,16.76242705349474,0.863176392539483
HD207129,96,-4.09033356245318,1.5425792277261938,16.76242705349474,1.3384062766000242
HD20766,7,-46.10484304856068,5.224909845672263,16.76242705349474,1.702853346329567
HD20782,8,10.010731551749542,5.510071595978081,16.76242705349474,0.4667147817041023
HD20807,94,2.5994413263817195,1.3230415402410334,16.76242705349474,1.9079191681927699
HD208704,8,11.449310054122785,5.282703055997673,16.76242705349474,0.8857398534204411
HD210918,23,6.203710773549004,2.6460472970038085,16.76242705349474,1.465578659141826
HD211415,63,5.409904303048247,1.66942113281335,16.76242705349474,1.2942653567681914
HD212708,1,32.39427117855712,14.436079974901379,16.76242705349474,nan
HD213575,3,7.155094779507751,9.656989073508507,16.76242705349474,0.5759936080240698
HD217014,61,0.8891333037412703,1.6931376487144836,16.76242705349474,1.139280185242217
HD220507,2,14.532970786028555,11.976507439953485,16.76242705349474,0.4384013699676241
HD222582,1,28.975542646762445,17.227863876003045,16.76242705349474,nan
HD222669,0,nan,nan,nan,nan
HD28821,1,-14.854127869291005,13.920919933419523,16.76242705349474,nan
HD30495,2,-61.48726728873886,18.17588126958402,16.76242705349474,0.7658067550038521
HD31527,15,17.689561025062375,4.518648134386627,16.76242705349474,1.0961012703372481
HD32724,3,-3.9373257995831157,7.951171280271911,16.76242705349474,0.6342880760687668
HD361,6,-34.0683821427664,7.007878309326294,16.76242705349474,0.9848170095139398
HD37962,1,-29.441090523222897,18.498359487921107,16.76242705349474,nan
HD38277,4,-5.052240840754697,7.580582545411912,16.76242705349474,0.3924786163852425
HD38858,82,19.147818327653017,1.2934817490612305,16.76242705349474,1.4983489337110565
HD38973,12,17.09704136087875,4.6305263225443305,16.76242705349474,1.4264493196416397
HD39091,36,11.29082830296812,2.894037227156714,16.76242705349474,1.1661737132676173
HD43587,1,43.47037753291511,13.956342994275921,16.76242705349474,nan
HD43834,82,11.520043389441373,1.5061283925813291,16.76242705349474,0.9449169210348519
HD4391,0,nan,nan,16.76242705349474,nan
HD44420,2,53.64891098704988,12.299991618706015,16.76242705349474,0.0017465434742903476
HD44447,13,29.318753465588188,3.648308297938728,16.76242705349474,0.5441919650967615
HD44594,13,24.219080451018243,4.549186287392246,16.76242705349474,1.5794685837389901
HD45184,104,-10.66730863237073,1.4265073254186056,16.76242705349474,1.3249313950705324
HD45289,12,-8.113084853573104,3.5639251037085384,16.76242705349474,0.6438481400532207
HD47186,8,2.921834859148908,5.642579575653662,16.76242705349474,0.8610161952484533
HD4915,21,-6.337268567089566,3.1677114526643075,16.76242705349474,2.1066071712031467
HD55693,10,-2.444063198073761,6.279931640896015,16.76242705349474,1.4541980759127617
HD59468,118,14.735082312850787,1.1368788194515926,16.76242705349474,1.154199074499542
HD65907,372,-10.230612827826791,0.7556458558042358,16.76242705349474,1.3960964752128924
HD6735,6,-23.557074640547768,7.972222010580932,16.76242705349474,1.7196896718318144
HD67458,11,3.0940961413441,4.442460065730566,16.76242705349474,1.374524782253133
HD68168,3,24.16158286641099,11.644746693055216,16.76242705349474,0.86844163449624
HD68978,46,-16.08771818370742,2.555591022759765,16.76242705349474,0.9438999508499273
HD69655,18,24.226003667162857,3.6232093227896396,16.76242705349474,1.3292089411872696
HD69830,314,19.00691167679259,0.6735419661015197,16.76242705349474,1.7376403926868347
HD70642,1,23.09059113815539,16.127253709112566,16.76242705349474,nan
HD70889,11,0.6211116327894972,5.787591087234045,16.76242705349474,0.5949509739357964
HD7134,1,-6.6388277417723875,19.92544315691264,16.76242705349474,nan
HD72769,7,-0.33470295147160056,6.109011036252453,16.76242705349474,0.6264004549015668
HD73256,0,nan,nan,16.76242705349474,nan
HD73524,62,-0.3090113931209882,2.188433030101196,16.76242705349474,1.487318454486131
HD7449,5,-18.892184732877514,9.204229948225507,16.76242705349474,0.49030591553912445
HD76151,7,-17.238484441102685,4.669812956790851,16.76242705349474,3.0568427833772915
HD78429,19,-18.45716322736627,3.8154920364648026,16.76242705349474,0.9515573577595853
HD78558,8,-34.90650255549912,5.1420041658977365,16.76242705349474,0.9765338383254524
HD78660,1,17.23386847024892,14.770700336560719,16.76242705349474,nan
HD82943,48,24.55328370295828,2.319715495909174,16.76242705349474,0.5642751431924167
HD83529,11,0.8697850978806808,4.719501775836206,16.76242705349474,1.131285146700488
HD88742,15,16.191116205876096,3.687537401462677,16.76242705349474,1.3951438355181105
HD90156,42,10.777179398517006,1.9821155790573475,16.76242705349474,1.5876384079410075
HD92719,22,-9.628609243781717,3.2395458509918336,16.76242705349474,1.493478437836947
HD92788,3,-5.891892457019871,9.506961716414553,16.76242705349474,0.5335490835273997
HD95521,2,-3.914627035993528,11.840167474070192,16.76242705349474,0.40614717131956457
HD96423,10,26.592498535160747,4.735588140221668,16.76242705349474,1.295717154959195
HD96700,131,5.543635390617793,1.159240090896324,16.76242705349474,1.6769039702920365
HD96937,1,16.112206939445855,16.557796260419522,16.76242705349474,nan
HD97037,13,-2.594832545088212,3.785205941418177,16.76242705349474,1.8052534425986273
HD97343,19,-1.6932728301465985,2.819034844553046,16.76242705349474,1.3373715732193603
HD9782,4,49.7715686318387,7.906920631510542,16.76242705349474,0.003313700450415954
HD98281,21,24.868798067781725,2.881722213259208,16.76242705349474,1.0215338774542055
Vesta,22,6.197241490238983,3.918155153905614,16.76242705349474,1.473640355916909
