star_name,Nobs,model_offset_transition,err_stat_transition,err_sys_transition,chisq_nu_transition
HD10180,3,11.403779847533784,10.763928191100094,14.491570009819139,0.7118583460467666
HD102117,1,33.37708339848615,17.18211532469791,14.491570009819139,nan
HD102438,4,0.6455366084727041,5.637070743806759,14.491570009819139,0.6583583917393131
HD104982,0,nan,nan,nan,nan
HD106116,5,-3.431354947282427,6.903768964351303,14.491570009819139,0.8130979644295189
HD108309,0,nan,nan,nan,nan
HD110619,0,nan,nan,nan,nan
HD111031,0,nan,nan,nan,nan
HD114853,28,-2.199487921122451,2.591951964967602,14.491570009819139,0.9884739481871785
HD11505,0,nan,nan,nan,nan
HD115617,10,-19.267397842932954,3.873973761070318,14.491570009819139,1.450991748627394
HD117105,0,nan,nan,nan,nan
HD117207,2,-5.977968443382573,11.473850946915848,14.491570009819139,0.7164023033923819
HD117618,0,nan,nan,nan,nan
HD12387,0,nan,nan,nan,nan
HD124292,0,nan,nan,nan,nan
HD125881,0,nan,nan,nan,nan
HD126525,0,nan,nan,nan,nan
HD128674,0,nan,nan,nan,nan
HD134060,9,1.8824805960780282,4.946838384677186,14.491570009819139,2.1421423467527787
HD134987,2,-23.559003349806652,11.573332635992113,14.491570009819139,1.9029640008714805
HD136352,6,-15.143604014459132,4.5415432172703705,14.491570009819139,0.6981790397093155
HD136894,0,nan,nan,nan,nan
HD138573,1,48.11265226566957,13.726402118022163,14.491570009819139,nan
HD1388,22,-17.46732460531318,3.206216288950615,14.491570009819139,1.4421564524177963
HD140538,0,nan,nan,nan,nan
HD140901,0,nan,nan,nan,nan
HD141937,0,nan,nan,nan,nan
HD143114,0,nan,nan,nan,nan
HD144585,0,nan,nan,nan,nan
HD1461,4,3.0351840865582016,6.403728823743501,14.491570009819139,2.9499004731340737
HD146233,54,-0.5415109535282153,1.695321871894545,14.491570009819139,1.6059907972194032
HD147512,0,nan,nan,nan,nan
HD150433,9,-5.305803129981312,4.428733090392188,14.491570009819139,1.1913829580592068
HD152391,0,nan,nan,nan,nan
HD154417,0,nan,nan,nan,nan
HD157338,0,nan,nan,nan,nan
HD157347,4,20.607246752546757,5.8546921061489705,14.491570009819139,1.814111602108498
HD1581,408,6.761979478442361,0.6751051714588879,14.491570009819139,1.2980492121799472
HD161612,0,nan,nan,nan,nan
HD168443,0,nan,nan,nan,nan
HD168871,0,nan,nan,nan,nan
HD171665,0,nan,nan,nan,nan
HD172051,0,nan,nan,nan,nan
HD177409,0,nan,nan,nan,nan
HD177565,58,-9.244694049563373,1.5242257377827886,14.491570009819139,1.6745624338781253
HD1835,0,nan,nan,nan,nan
HD183658,0,nan,nan,nan,nan
HD184768,0,nan,nan,nan,nan
HD189567,4,1.5364760399184876,5.382356505550553,14.491570009819139,1.0169766965259568
HD189625,0,nan,nan,nan,nan
HD190248,952,-15.477591007668419,0.35835924682345566,14.491570009819139,1.427498606910454
HD19467,0,nan,nan,nan,nan
HD196761,5,5.016064956629599,4.526812971788949,14.491570009819139,0.3720277980952928
HD197818,0,nan,nan,nan,nan
HD199960,0,nan,nan,nan,nan
HD203432,0,nan,nan,nan,nan
HD20407,15,-7.597124503656728,3.658846593453891,14.491570009819139,0.836385582949824
HD204385,0,nan,nan,nan,nan
HD205536,3,7.735783336774185,7.779651590402571,14.491570009819139,0.47379708086452155
HD20619,0,nan,nan,nan,nan
HD2071,0,nan,nan,nan,nan
