star,4652.593Cr1_4653.460Cr1_29,4652.593Cr1_4653.460Cr1_30,4759.449Ti1_4760.600Ti1_32,4759.449Ti1_4760.600Ti1_33,4799.873Ti2_4800.072Fe1_33,4799.873Ti2_4800.072Fe1_34,5138.510Ni1_5143.171Fe1_42,5187.346Ti2_5200.158Fe1_43,6123.910Ca1_6138.313Fe1_60,6123.910Ca1_6139.390Fe1_60,6138.313Fe1_6139.390Fe1_60,6153.320Fe1_6155.928Na1_61,6153.320Fe1_6162.452Na1_61,6153.320Fe1_6168.150Ca1_61,6155.928Na1_6162.452Na1_61,6162.452Na1_6168.150Ca1_61,6162.452Na1_6175.044Fe1_61,6168.150Ca1_6175.044Fe1_61,6192.900Ni1_6202.028Fe1_61,6242.372Fe1_6244.834V1_62
HD140538,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD140901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD141937,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD143114,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD144585,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD1461,8.655479356709982,9.62185946477775,10.57652489659648,14.233892588361725,13.313603995330835,14.142290097851287,6.590208910553629,9.402172277699226,13.147233103888793,7.723258372768879,10.545377360140234,12.224676220282548,11.899991661654251,8.656721023281788,14.911492383671154,10.78408876558316,11.984581189371646,7.73911734302708,8.320287205580115,10.34757096332619
HD146233,2.7786471434678957,2.9910411934032632,3.8571448521381266,5.012114053687752,4.975724907014635,5.672359995970135,2.0363043050595238,2.250301480715556,2.4616455662719297,2.3734772314210497,2.638705797162147,5.775960255631833,4.043132538694344,3.165771594279259,6.0174808786175005,3.594063198398106,3.4851188556046813,2.440668013082709,2.4782132317922407,4.9077057973022145
HD147512,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD150433,7.658308147116138,10.270623783342248,11.080021827839792,16.81244888307417,17.719096143923668,20.246873700498085,nan,7.660862582215884,9.092362520085048,9.030181612704254,7.264305526767895,23.069604903586438,17.479979799803708,14.179052574484054,29.853386923482283,18.075389152704098,14.424572880608421,9.822455696205356,21.13293125595776,15.186972689006945
HD152391,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD154417,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD157338,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD157347,9.984515572327632,10.661189189053548,11.868562385987493,17.273228505369904,14.838797283817248,17.12798629182325,8.295688960543332,11.580551414276057,12.510096058641468,7.599004532514328,13.69504812036109,18.806189417276414,16.10431030159725,9.818926466790533,25.945201469423285,14.339733808308722,13.968513477072957,7.761710496120417,8.706295629224343,12.409926520967172
HD1581,1.2017931707157639,1.3963498810819674,2.4489078854502075,3.098934364426587,3.633913075696002,3.825605841303483,0.8256818057989733,0.9573509164895895,0.9357362188516555,0.9405644630732669,1.0175462250791913,4.168029461088406,2.5855733098660347,1.998338260903482,4.31127068849115,2.2157629426844587,2.1628816323022466,1.3619416254201813,1.3457082101364997,4.983982313809577
HD161612,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD168443,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD168871,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
