star,4652.593Cr1_4653.460Cr1_29,4652.593Cr1_4653.460Cr1_30,4759.449Ti1_4760.600Ti1_32,4759.449Ti1_4760.600Ti1_33,4799.873Ti2_4800.072Fe1_33,4799.873Ti2_4800.072Fe1_34,5138.510Ni1_5143.171Fe1_42,5187.346Ti2_5200.158Fe1_43,6123.910Ca1_6138.313Fe1_60,6123.910Ca1_6139.390Fe1_60,6138.313Fe1_6139.390Fe1_60,6153.320Fe1_6155.928Na1_61,6153.320Fe1_6162.452Na1_61,6153.320Fe1_6168.150Ca1_61,6155.928Na1_6162.452Na1_61,6162.452Na1_6168.150Ca1_61,6162.452Na1_6175.044Fe1_61,6168.150Ca1_6175.044Fe1_61,6192.900Ni1_6202.028Fe1_61,6242.372Fe1_6244.834V1_62
HD140538,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD140901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD141937,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD143114,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD144585,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD1461,56415.8229569311,56463.37121756304,72517.43624554099,72507.50104725773,12527.580394987726,12540.197559095857,272203.1461032811,739549.8345342751,704377.792332985,756936.4357747362,52549.300503365455,127009.18479861967,444595.88940359844,721217.3811513294,317573.06262820325,276626.1607645937,611941.8137334717,335308.51064639894,442045.3814776498,118236.56910187582
HD146233,56416.58666111492,56445.724657494924,72514.6816583995,72518.12993984639,12510.49407896509,12503.025858163,272174.33177556266,739555.8498249889,704356.4348882149,756905.465719635,52546.86508792634,126973.26206445914,444549.64679870463,721212.5749799018,317576.0048893264,276662.8842381326,611974.6864010021,335310.87086798146,442010.2539431171,118225.82043238688
HD147512,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD150433,56381.91703056533,56398.50142820486,72501.52569156796,72534.713410627,12498.175483723015,12512.683192563194,nan,739523.7596760212,704321.3995776541,756875.8434296718,52558.64279702337,126958.75909651247,444525.37590202346,721228.2491675428,317551.79337111517,276708.48449616117,611992.3996750826,335299.9305314945,442123.04274142033,118226.28473991425
HD152391,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD154417,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD157338,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD157347,56420.78612280005,56436.970460054676,72509.7586477829,72509.05409561901,12519.152737875631,12538.598386176312,272203.7990204861,739557.9940478537,704368.1945658064,756919.4256990674,52568.38866707542,126964.2204012649,444546.374564577,721216.2245892556,317564.37870523636,276672.7094661232,611985.8828186438,335313.53727265587,442030.3508874477,118201.49695487539
HD1581,56406.611318667674,56421.5207142993,72504.61976328591,72507.88576858304,12479.991275467748,12468.35808378391,272184.268811788,739505.5155432597,704313.96873546,756861.7829153145,52547.570342817526,127016.15335938334,444567.025488014,721209.5659068072,317550.3186815246,276642.4800878129,611947.0592264106,335303.5525023962,442007.03736431594,118264.79351568683
HD161612,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD168443,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD168871,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
