star,4652.593Cr1_4653.460Cr1_29,4652.593Cr1_4653.460Cr1_30,4759.449Ti1_4760.600Ti1_32,4759.449Ti1_4760.600Ti1_33,4799.873Ti2_4800.072Fe1_33,4799.873Ti2_4800.072Fe1_34,5138.510Ni1_5143.171Fe1_42,5187.346Ti2_5200.158Fe1_43,6123.910Ca1_6138.313Fe1_60,6123.910Ca1_6139.390Fe1_60,6138.313Fe1_6139.390Fe1_60,6153.320Fe1_6155.928Na1_61,6153.320Fe1_6162.452Na1_61,6153.320Fe1_6168.150Ca1_61,6155.928Na1_6162.452Na1_61,6162.452Na1_6168.150Ca1_61,6162.452Na1_6175.044Fe1_61,6168.150Ca1_6175.044Fe1_61,6192.900Ni1_6202.028Fe1_61,6242.372Fe1_6244.834V1_62
HD147512,56370.33601081589,56424.30473369034,72504.05432145896,72508.94891981895,12549.307060768528,12555.673852112444,272265.6146473845,739633.9774746611,704366.5518687199,756910.5026067379,52549.86691574115,126915.64063387012,444507.0194995146,721213.0060997168,317593.31923684943,276706.4250767774,612026.4143969741,335319.8362164721,442082.23153041996,118200.65780144591
HD150433,56383.933185914735,56374.67455485779,72515.0454745802,72519.85717499732,12507.68347563863,12524.835117806151,272297.5856025656,739580.3969115472,704320.6455125156,756879.1896572354,52552.87729752989,126941.68912428479,444533.6111936535,721224.9813549882,317583.16210895334,276688.76895179413,612011.3181051156,335318.64961786335,442118.4354770644,118243.8685184676
HD152391,56417.65900501964,56446.56477905337,72474.50853129242,72433.07044597987,12595.563588379506,12559.926564747338,272163.02771191247,739578.2955708352,nan,nan,nan,126884.1090434517,444496.5262772222,721237.3367896564,317585.66113217233,276764.91941732983,nan,nan,442010.27772757976,118213.24804326572
HD154417,56492.54773623894,56459.42836711019,72456.53786212827,72447.82940826629,12474.952085272693,12273.521060398267,272141.5387664082,739572.6884025106,nan,nan,nan,126996.25350735862,444538.6529385743,721178.1243027812,317537.281821332,276650.67995551974,611987.1220673954,335342.44807097805,441951.5888780189,118332.88888918603
HD157338,56419.75791027891,56419.95302511775,72508.06912593704,72533.0388090628,12472.355899202017,12499.317573637281,272186.2770983266,739568.046984277,704323.299755435,756878.720770864,52551.0667872862,127032.78236558988,444582.9491629065,721199.9542656024,317539.43611577956,276627.5569517363,611952.2345578888,335317.9895650109,442005.65145322913,118262.1244298336
HD157347,56400.93754312293,56419.39463940039,72506.27060636802,72518.54327401519,12526.115074066,12520.734257336204,272248.3066822858,739606.6095430658,704369.455582092,756926.1106563163,52555.779512494126,126960.49225527806,444528.7749954347,721208.332276845,317566.60439289594,276679.41533982026,612010.0219604748,335329.90803763433,442061.6821107888,118214.17158355117
HD1581,56412.03153569429,56417.86950219864,72504.75946723402,72498.94865294284,12480.133728331573,12481.570770195058,272213.3908486431,739556.4763606162,704319.0473265917,756869.3589778715,52550.43625559024,126985.65775319081,444556.2925720292,721202.6371605695,317570.59789124207,276646.3860531085,611964.6858506633,335317.8868984122,442011.0503644884,118285.42139533734
HD161612,56418.26714233117,56443.571611085994,72512.36310357886,72514.59284324436,12514.233353030513,12532.337475935368,272237.063397817,739599.3560189828,704382.8238651352,756953.2250827668,52563.09717934863,126936.69665204089,444545.29134583235,721229.0856275761,317610.39160644036,276683.5152899778,611988.1341803842,335310.7229424792,442079.8053265565,118209.94598401728
HD168443,56390.538256053784,56395.813246944366,72509.24607562601,72530.27941028192,12531.391434615356,12528.422318818337,272247.15986137197,739566.6352534682,704389.7821034633,756927.2113208763,52534.41795574696,127013.85635849407,444580.4412859263,721233.8077215297,317566.34480892454,276653.56746741576,611950.4863719757,335297.2037039617,442129.8586519921,118237.95363837149
HD168871,56407.56602721409,56419.779788674074,72488.73495159257,72519.69255352649,12458.942013808419,12452.971074310022,272217.1402157789,739554.9428468336,704330.8532240156,756885.8384019337,52555.457096323815,127020.12357560873,444567.67478469247,721203.6725086627,317549.5135942744,276632.4705464564,611953.6579284068,335319.93894604134,441999.8469099036,118280.21873921121
HD171665,56390.95297584217,56394.53395495083,72521.30862393764,72516.50157522058,12528.918672927313,12553.797337592585,272230.09398052783,739603.6011468647,704377.6385407383,756930.9160616213,52551.805558948916,126924.15205469944,444502.43154733855,721201.718426954,317577.1701751353,276699.89294002013,612025.2533786682,335323.86505109246,442048.93918189517,118226.23818566331
