star_name,Nobs,model_offset_pair,err_stat_pair,err_sys_pair,chisq_nu_pair,offset_transition1,t_stat_err1,t_sys_err1,chisq_nu1,offset_transition2,t_stat_err2,t_sys_err2,chisq_nu2
HD10180,1,-60.96374888269551,66.05850513407543,0.0,0.0,-54.94968508027861,18.557819013189953,6.499621131198111,4.031021585832571,1.057691357416547,29.556461245881096,0.24409743407094406,0.15231099711316493
HD102117,0,,,0.0,,,,6.499621131198111,,,,0.24409743407094406,
HD102438,4,-8.757859516961188,18.52166619836015,0.0,1.543880347536313,-8.365729437926744,11.928870871329792,6.499621131198111,0.4613978494279211,-20.624758861451728,14.089852868569658,0.24409743407094406,2.410780127804507
HD104982,0,,,,,,,,,,,,
HD106116,5,3.1152369294469247,16.0989820012815,0.0,1.983981619523009,-24.25709108865847,10.983491731655427,6.499621131198111,0.5320431368785725,-14.110518768919725,11.578094114970787,0.24409743407094406,2.980961174637011
HD108309,0,,,,,,,,,,,,
HD110619,0,,,,,,,,,,,,
HD111031,0,,,,,,,,,,,,
HD114853,26,-14.19991981907548,9.0297134256551,0.0,0.807218308199473,17.829761974826347,5.028325087431386,6.499621131198111,1.2617060700914822,3.9553496898078917,7.255054316698854,0.24409743407094406,0.8175692566884677
HD11505,0,,,,,,,,,,,,
HD115617,8,-0.20929708233911043,8.98711794579835,0.0,0.09895195030892211,-7.617948698987114,6.408335341913273,6.499621131198111,0.5843536397875514,-6.126401412637321,6.254159883761159,0.24409743407094406,0.5416035209821758
HD117105,0,,,,,,,,,,,,
HD117207,2,9.335692193813333,19.938414185031736,0.0,0.7739445086111029,-15.016533301010286,14.239408438938082,6.499621131198111,1.5402682969712624,-4.012630390821368,13.954850175930869,0.24409743407094406,5.966106457847335e-05
HD117618,0,,,,,,,,,,,,
HD12387,0,,,,,,,,,,,,
HD124292,0,,,,,,,,,,,,
HD125881,0,,,,,,,,,,,,
HD126525,0,,,,,,,,,,,,
HD128674,0,,,,,,,,,,,,
HD134060,9,13.93741495213061,15.659604350884623,0.0,0.64382916005265,-0.9089231081705639,8.05509241839191,6.499621131198111,0.8674373996500849,15.73042052407814,13.302536321122117,0.24409743407094406,0.4094288852143333
HD134987,2,15.270439387916525,22.032651665321456,0.0,0.5265933537447056,-12.548458386503775,15.515715833526443,6.499621131198111,2.4610757707844106,2.885309995285509,15.606767871014966,0.24409743407094406,0.3161651175967135
HD136352,6,10.575666111029397,14.530418831297778,0.0,0.962075869734605,-3.7512898581303644,7.339718335969096,6.499621131198111,1.7124044356626467,8.31489174348743,12.51181860814037,0.24409743407094406,1.0569134195387684
HD136894,0,,,,,,,,,,,,
HD138573,1,18.529148819036223,36.43018618167279,0.0,,-2.3963308680558555,23.444558796756223,6.499621131198111,,18.547952754853668,27.883886530696962,0.24409743407094406,
HD1388,22,-3.6476443930767677,13.156866884041575,0.0,1.310769918685433,2.289257909782147,6.133571029420895,6.499621131198111,0.9252261067847654,-0.8025425741444526,11.549255812562446,0.24409743407094406,1.1628813599783305
HD140538,0,,,,,,,,,,,,
HD140901,0,,,,,,,,,,,,
HD141937,0,,,,,,,,,,,,
HD143114,0,,,,,,,,,,,,
HD144585,0,,,,,,,,,,,,
HD1461,4,7.551585439514931,13.313603995330835,0.0,2.8996390741733014,-4.762952462543107,8.829094240636868,6.499621131198111,0.6513713687254113,6.410692742842153,9.853967218398942,0.24409743407094406,3.131022561710814
HD146233,51,1.6246417851697734,4.975724907014635,0.0,0.789825890811406,-4.991478713995468,2.953533001362776,6.499621131198111,1.1722336917993046,-0.05876367214079287,3.873089567050577,0.24409743407094406,0.8846778060083519
HD147512,0,,,,,,,,,,,,
HD150433,9,-12.879206072672115,17.719096143923668,0.0,0.9109360608229522,16.578498816276944,7.999728874966797,6.499621131198111,1.5357492300660955,5.261405626189395,15.697742310992139,0.24409743407094406,1.21472646424625
HD152391,0,,,,,,,,,,,,
HD154417,0,,,,,,,,,,,,
HD157338,0,,,,,,,,,,,,
HD157347,4,0.8675923923140975,14.838797283817248,0.0,0.9973926644662804,-1.5109468983493284,9.45237127246341,6.499621131198111,2.677194152707564,1.9448966281542601,11.437099906108058,0.24409743407094406,0.6240472459507097
HD1581,393,-0.45968690747976987,3.633913075696002,0.0,0.9156286742118873,0.43734633686854363,1.3772742416263792,6.499621131198111,1.1160744456880698,1.3039823870039344,3.252064939154524,0.24409743407094406,1.093302198889107
HD161612,0,,,,,,,,,,,,
HD168443,0,,,,,,,,,,,,
HD168871,0,,,,,,,,,,,,
HD171665,0,,,,,,,,,,,,
HD172051,0,,,,,,,,,,,,
HD177409,0,,,,,,,,,,,,
HD177565,55,2.6431311788940137,3.208296392144899,0.0,1.0110316071595828,-3.0704557492255065,2.198866198357432,6.499621131198111,1.3792823828038012,1.018325801980187,2.188857204677015,0.24409743407094406,1.2176794285508712
HD1835,0,,,,,,,,,,,,
HD183658,0,,,,,,,,,,,,
HD184768,0,,,,,,,,,,,,
HD189567,3,-18.415967264200393,22.57816754113641,0.0,0.46438808571825657,21.800377903926346,9.970249074574287,6.499621131198111,1.5907794475579677,-13.195967434036572,15.802978314110918,0.24409743407094406,0.24302451003777228
HD189625,0,,,,,,,,,,,,
HD190248,904,-0.0011483601397063413,0.6244820441115038,0.0,0.9222536703956804,2.9656442482656553,0.4524562503757626,6.499621131198111,1.2088719670670394,-0.7646803304648397,0.4059259135031212,0.24409743407094406,1.1296774140009882
HD19467,0,,,,,,,,,,,,
HD196761,4,-0.7439820649419028,14.565972126723961,0.0,2.3548805774569206,-17.338540036647768,8.907761525716113,6.499621131198111,1.788591075643712,-26.60099690351072,8.393181754699567,0.24409743407094406,3.085375828628587
HD197818,0,,,,,,,,,,,,
HD199960,0,,,,,,,,,,,,
HD203432,0,,,,,,,,,,,,
HD20407,13,29.281209761067387,24.584401534720353,0.0,0.6570423725274744,-6.981352875701787,9.132385621319195,6.499621131198111,0.9480658061203892,30.796050879830855,21.363534251711577,0.24409743407094406,1.4600201538217654
HD204385,0,,,,,,,,,,,,
HD205536,3,9.200235346328963,15.345364077458992,0.0,3.4269712879357073,-9.615364508085225,11.50308934591811,6.499621131198111,3.6517033175401767,-2.907267128652504,10.153802568708644,0.24409743407094406,0.5250746574978439
HD20619,0,,,,,,,,,,,,
HD2071,0,,,,,,,,,,,,
HD207129,19,1.6290762099784615,12.197820013586258,0.0,1.2749983803973512,-9.535892195683074,5.686007049316576,6.499621131198111,1.6417920581994359,-17.653147258240676,9.865793512091106,0.24409743407094406,1.237747692935042
HD20766,0,,,,,,,,,,,,
HD20782,5,13.960732369639008,19.45876103997773,0.0,0.7825906114036659,10.700410720303196,10.580101452162204,6.499621131198111,1.3743210395433443,15.559078293815784,14.44695583571439,0.24409743407094406,1.1396949549830253
HD20807,56,-8.712876535351603,8.251279201254382,0.0,0.6687788039066156,1.9982269630448823,3.9082436613656277,6.499621131198111,1.1999417938118229,-5.888258237499735,7.146325599716853,0.24409743407094406,0.9313277848685768
HD208704,0,,,,,,,,,,,,
HD210918,54,-0.3328024918969183,4.487126504525549,0.0,1.355649460738131,-2.2283512353092823,2.4500677730965923,6.499621131198111,1.8115679018417616,-4.275164628469353,3.55548816327743,0.24409743407094406,1.1236325895048693
HD211415,16,-26.784428698142975,15.184187574617523,0.0,0.8773499195256218,-13.373380482046466,6.497388646683764,6.499621131198111,1.2803433630455485,-19.695347437277807,12.813725839554662,0.24409743407094406,1.2700116516197373
HD212708,0,,,,,,,,,,,,
HD213575,0,,,,,,,,,,,,
HD217014,0,,,,,,,,,,,,
HD220507,8,15.95108627509953,13.686859742918832,0.0,0.7515931542908527,12.064782450984643,8.668685230565904,6.499621131198111,0.8740510492074948,22.48396240416067,10.48528950309634,0.24409743407094406,0.91466872140624
HD222582,0,,,,,,,,,,,,
HD222669,1,-95.50318994753049,64.54690768115306,0.0,,36.144229710319735,38.49946373592899,6.499621131198111,,-56.20097897698599,51.80824821633312,0.24409743407094406,
HD28821,0,,,,,,,,,,,,
HD30495,0,,,,,,,,,,,,
HD31527,1,-112.1176787700904,76.51582678613771,0.0,,18.22666532719876,36.96336669998055,6.499621131198111,,-91.77806935654905,66.99538246005464,0.24409743407094406,
HD32724,0,,,,,,,,,,,,
HD361,0,,,,,,,,,,,,
HD37962,0,,,,,,,,,,,,
HD38277,0,,,,,,,,,,,,
HD38858,16,6.660140297143992,8.408946868120228,0.0,1.538740292497624,-3.098709052269158,5.001677913886471,6.499621131198111,0.776371279828272,2.1994027460611485,6.724336414233342,0.24409743407094406,1.825614257020562
HD38973,0,,,,,,,,,,,,
HD39091,11,-28.42156761892746,17.06291456642432,0.0,0.6741886305638866,-8.439479774232991,8.180271695175012,6.499621131198111,1.1128701587187522,-34.731324654594616,14.864850794049667,0.24409743407094406,0.40363046938963937
HD43587,0,,,,,,,,,,,,
HD43834,0,,,,,,,,,,,,
HD4391,0,,,,,,,,,,,,
HD44420,0,,,,,,,,,,,,
HD44447,0,,,,,,,,,,,,
