star_name,Nobs,model_offset_pair,err_stat_pair,err_sys_pair,chisq_nu_pair,offset_transition1,t_stat_err1,t_sys_err1,chisq_nu1,offset_transition2,t_stat_err2,t_sys_err2,chisq_nu2
HD10180,24,-8.039356226262118,6.30291402140769,7.921463928055062,1.41961480285668,15.514484446317558,4.474328506867468,9.400553700991589,1.9014251969944231,2.739752403729846,4.133352197916452,13.417855542962412,1.3812439731001591
HD102117,7,8.414680265608052,9.47120627472509,7.921463928055062,0.8032303759139773,-4.830308418183117,6.10412075932367,9.400553700991589,0.350444018570411,3.133556879358565,6.962387706953857,13.417855542962412,1.3578688138694073
HD102438,32,9.708550087120686,3.9044768809217043,7.921463928055062,0.6853934600791611,10.383473332908713,2.3655886791516227,9.400553700991589,1.2453088398772958,20.90880388628061,2.2700208724866817,13.417855542962412,1.2753471031825883
HD104982,1,61.12575015181676,27.02647409967271,7.921463928055062,,-40.653932084007124,20.38495342991605,9.400553700991589,,20.79637098183207,17.744970440111587,13.417855542962412,
HD106116,7,-5.32877576329779,9.185224324463857,7.921463928055062,1.9864584875897997,1.0439062363113547,6.127129808247752,9.400553700991589,0.7386719750973988,-9.517756183957955,6.305568928077917,13.417855542962412,2.311843480059614
HD108309,25,13.9625146897966,4.867523307523451,7.921463928055062,0.4573841539949401,-5.2277616840202255,3.318359116197438,9.400553700991589,0.6308936876608825,15.45049489186795,3.2283277302879707,13.417855542962412,0.8363568732876417
HD110619,0,,,7.921463928055062,,,,9.400553700991589,,,,13.417855542962412,
HD111031,9,-20.9451588087898,7.739120139723692,7.921463928055062,0.37813485953846376,13.793669189475144,5.494864344994582,9.400553700991589,0.923459958080171,-8.959295140132836,5.418781610517464,13.417855542962412,0.6987334856500255
HD114853,24,-4.688860101975044,4.920803625445619,7.921463928055062,0.9977219577058101,-1.0614654762532318,3.532087999053635,9.400553700991589,0.9892670435469318,-3.5841755579966685,3.175703730045784,13.417855542962412,1.4845787743486811
HD11505,2,-28.727618993533238,19.848268256544095,7.921463928055062,0.012819240693748284,24.673083888697946,15.379141945157786,9.400553700991589,0.032065927752451116,-2.921138067610215,12.54730820709184,13.417855542962412,0.1589098457436336
HD115617,470,-1.011228966414759,0.8583868331157087,7.921463928055062,0.7003801907028646,-10.34956928774462,0.5304107643692683,9.400553700991589,1.2961950385622802,-13.06696899955775,0.5334517521923517,13.417855542962412,1.424793835150828
HD117105,7,-12.299374837234849,11.846030615583981,7.921463928055062,1.2479930896496723,-20.24817656712858,7.801940734877361,9.400553700991589,1.9583295673184167,-15.814930436332148,6.728615569369734,13.417855542962412,1.1882045581224114
