star_name,Nobs,model_offset_pair,err_stat_pair,err_sys_pair,chisq_nu_pair,offset_transition1,t_stat_err1,t_sys_err1,chisq_nu1,offset_transition2,t_stat_err2,t_sys_err2,chisq_nu2
HD10180,24,8.80505347136966,11.175228631634583,9.397834701755306,1.0875137006581619,0.17264651538800177,5.598469784863727,6.096050858208274,1.2824644786950057,11.292803547259583,9.036801688685495,12.519394115607035,1.3702613467249196
HD102117,7,-2.755504429590919,10.535908578590993,9.397834701755306,1.6690392654700545,-4.690958414475228,5.705111701740008,6.096050858208274,1.6357556366441717,-7.519764634009236,8.785343325326828,12.519394115607035,0.8031534204198786
HD102438,39,-9.122730039157386,7.772859038233237,9.397834701755306,0.8594542631571256,3.989455667395569,2.9272838424144343,6.096050858208274,1.4404480639301744,-0.9894715327279083,7.049621844444474,12.519394115607035,1.1751609572664539
HD104982,1,-0.8252394701742105,69.4049542176297,9.397834701755306,,17.519535607685782,25.785180192520155,6.096050858208274,,16.351696221949055,64.43735060033536,12.519394115607035,
HD106116,6,-15.716315876961618,15.027738269933655,9.397834701755306,2.111542152760578,-9.231431670183262,6.7176937205575165,6.096050858208274,2.2132054851669642,-17.742854092792594,12.041273026352243,12.519394115607035,1.2407450623418512
HD108309,27,-4.100550811927886,6.80843579728556,9.397834701755306,0.6905316990566798,0.18939124381915587,3.411698399091125,6.096050858208274,0.7198040156350939,-2.2757000299691703,5.878264015941255,12.519394115607035,0.8171364463354203
HD110619,2,-141.0261387756561,54.376696185829225,9.397834701755306,1.4260186725558377,-0.662226024917061,17.883760789981444,6.096050858208274,5.401655334340479,-141.73562794970167,51.34988634590332,12.519394115607035,0.20645113415136174
HD111031,8,20.1635683008031,11.00817648503411,9.397834701755306,1.8549694687324254,-3.908905719896169,5.818391333224114,6.096050858208274,0.5814406264218585,15.17608807170648,9.247891465567657,12.519394115607035,2.3223227250465923
HD114853,26,-15.310307931702374,12.656590896698726,9.397834701755306,0.8135842515121748,4.620094185992459,4.331706297283928,6.096050858208274,1.1390420710719373,-9.656843911177635,11.863309156907516,12.519394115607035,0.8627117597390833
HD11505,2,28.21062643839078,48.58960381346974,9.397834701755306,0.4902641250746224,7.971119022488412,18.60997749556032,6.096050858208274,1.3545704321363445,38.56071312889266,44.877998572167215,12.519394115607035,0.07493527341810273
HD115617,483,-20.353249454852254,1.3787459433611355,9.397834701755306,0.8907285377020527,2.9557778429768065,0.5598785579663029,6.096050858208274,1.5518003474600865,-21.290765646313876,1.116460515157019,12.519394115607035,1.3232868964560178
HD117105,8,0.6922708451213837,34.67152757482324,9.397834701755306,0.6262597503437288,-27.398947115390566,12.634955291066534,6.096050858208274,0.5504667897171185,-24.1214512786382,32.16431088060727,12.519394115607035,0.7867380938806964
HD117207,5,-20.967739449288143,14.00248489820249,9.397834701755306,1.8300114978178066,7.404746856304327,7.631998297958358,6.096050858208274,0.8227132889410116,-11.597423770757828,11.71949980932565,12.519394115607035,1.1582332275842027
HD117618,4,-12.327686666763288,37.75662675851406,9.397834701755306,0.19841351839171661,-9.490830167262006,15.858241803537867,6.096050858208274,1.2132366188822752,-19.35164239620217,33.73881413876033,12.519394115607035,0.7899860476881077
HD12387,2,-7.273389699973626,41.52073978774009,9.397834701755306,5.109053677227633,11.7630806955662,17.879418346336966,6.096050858208274,0.08380760666002612,6.190058531239809,37.43578510808564,12.519394115607035,6.918920612623808
HD124292,6,30.129607186505222,12.133305944280181,9.397834701755306,1.094446970940593,-5.172707190552892,5.570920938265909,6.096050858208274,1.3302451530778976,27.940447435862293,10.766672830870272,12.519394115607035,0.8911170816987631
HD125881,5,39.416837180302714,33.97856551907863,9.397834701755306,0.8639032966750465,22.80215019190584,14.53954645034873,6.096050858208274,1.2755952281175447,60.393623613129,30.341132531304883,12.519394115607035,0.9321737868671602
HD126525,1,5.887787838716463,46.484946640128605,9.397834701755306,,39.944338210191574,21.801663673689486,6.096050858208274,,48.833665547158375,41.055300817250526,12.519394115607035,
HD128674,5,-33.22832660428292,24.21443821861452,9.397834701755306,0.6918421477212897,3.1181854288693187,8.093106058392056,6.096050858208274,2.689747940678094,-24.845483846629623,20.66870653750557,12.519394115607035,0.7338735726497452
HD134060,62,-8.835040452353809,6.621174839263367,9.397834701755306,1.1916871076595412,0.01888143375732101,3.144296300495901,6.096050858208274,1.6846282984720553,-7.744895134536617,5.42850294857749,12.519394115607035,1.3897742549440493
HD134987,12,-7.500430381130463,8.735372329006598,9.397834701755306,0.8837934568190761,10.495686560705344,4.887448428735416,6.096050858208274,0.8574921059798747,-0.19914080021438949,6.7933333610999656,12.519394115607035,1.0150047176761332
HD136352,237,12.230370907620776,3.3640640114101332,9.397834701755306,0.8418514400145938,1.2314178988761946,1.3801043429413926,6.096050858208274,1.3050047084375067,15.537388442772972,2.965936183817476,12.519394115607035,1.1463534218462903
HD136894,3,-16.60877148823725,22.256387373134743,9.397834701755306,0.3379121960564608,-13.765778084573059,8.629965798852671,6.096050858208274,0.9439545458476373,-25.79822287263847,20.502662088179076,12.519394115607035,0.18968133603627066
HD138573,0,,,,,,,,,,,,
HD1388,43,1.6717745399314599,10.238266208178398,9.397834701755306,0.7171605527630435,-4.379605301622121,4.478976426185424,6.096050858208274,0.8116445921191054,-0.43944124082965963,8.85166344685881,12.519394115607035,1.139439492604248
HD140538,10,-8.9903598023526,12.338517423750451,9.397834701755306,0.8809935127994807,-8.67753769539747,4.914945156912404,6.096050858208274,1.0979983394367063,-26.769092436303186,10.32085600313326,12.519394115607035,1.145623923402726
HD140901,21,-12.159496542815187,7.6401014434970635,9.397834701755306,0.8096924010926365,-7.474003618116579,3.8169928718030723,6.096050858208274,0.8612443426048099,-20.58027079502081,6.38111698765343,12.519394115607035,1.0445174690777888
HD141937,1,-31.93404186016835,46.1440401180334,9.397834701755306,,59.92429698472563,24.923364478323535,6.096050858208274,,25.86196604550736,38.83424186842478,12.519394115607035,
HD143114,2,153.21216941407243,64.2341696860975,9.397834701755306,0.38903597681136515,-9.546362221289495,20.731677429319216,6.096050858208274,0.7813360989954587,147.080329616246,45.22041014290518,12.519394115607035,0.3682307653886376
HD144585,12,-22.709764761291265,9.760202790995246,9.397834701755306,1.0300414779425033,4.871506418478206,5.248336731403357,6.096050858208274,1.040638673572791,-20.906900896349136,8.196264529746461,12.519394115607035,1.3083038072020863
HD1461,118,4.422240078395174,2.7099107454898674,9.397834701755306,1.1627273968471639,1.4187717163998719,1.4356858053745283,6.096050858208274,1.6734394550746545,5.974434625446408,2.1867709500891865,12.519394115607035,1.2760632604777964
HD146233,80,-3.7189996040280566,5.13846760020671,9.397834701755306,0.7874951849127417,-0.07981497638632501,2.192366407690069,6.096050858208274,1.356502290162854,-1.9297933674316563,4.343254288297584,12.519394115607035,1.3282619874671693
HD147512,5,-16.79173295482084,16.111834227731723,9.397834701755306,1.9765006788057888,-1.675767829084159,7.4900227745070795,6.096050858208274,2.5605811751862824,-14.328736970084451,14.241214571983425,12.519394115607035,2.5651926887395344
HD150433,14,2.475490596208001,16.856737452544415,9.397834701755306,0.9225833368467788,1.7309286039532925,6.3276509416704965,6.096050858208274,1.3461859778177852,1.9926208289483727,14.448872295147776,12.519394115607035,1.536238056939475
HD152391,1,-8.563622614730093,60.95663779919514,9.397834701755306,0.0,-61.318940120932346,17.259757745415687,6.096050858208274,0.26610710967102247,-44.29341249505581,46.3854609511145,12.519394115607035,0.19373922014342584
