star,4652.593Cr1_29,4652.593Cr1_30,4653.460Cr1_29,4653.460Cr1_30,4759.449Ti1_32,4759.449Ti1_33,4760.600Ti1_32,4760.600Ti1_33,4799.873Ti2_33,4799.873Ti2_34,4800.072Fe1_33,4800.072Fe1_34,5138.510Ni1_42,5143.171Fe1_42,5187.346Ti2_43,5200.158Fe1_43,6123.910Ca1_60,6138.313Fe1_60,6139.390Fe1_60,6153.320Fe1_61,6155.928Na1_61,6162.452Na1_61,6168.150Ca1_61,6175.044Fe1_61,6192.900Ni1_61,6202.028Fe1_61,6242.372Fe1_62,6244.834V1_62
HD134987,70027.01565243173,69989.89456685388,456291.32916377456,717501.9370974506,448531.1058787815,533580.2181838833,533515.7415131332,670463.3087816001,558323.282826107,71346.45180137087,421370.59272972203,350026.17341393005,454623.19614362746,510744.8593573824,593100.9108327668,176076.8421876391,208038.52327586865,50486.582135131626,147826.06602504896,368334.2009240238,437498.21487006696,458148.7344763085,14904.895559952547,112217.71255163441,332701.0946320002,332699.92873089894,97328.46482142272,119194.28494688573
HD136352,70017.61927976993,69997.99006639622,456342.905126366,717398.4968236792,448651.45943666715,533557.166018455,533545.5427757641,670471.9416799487,558531.4666074364,71406.46339022763,421609.48502723046,350204.61263173685,454495.26708155416,510661.8565307411,593104.9422110908,176075.40978494284,208007.21935761886,50295.222253744665,147776.976712625,368181.6005940425,437379.69377244846,457968.57714126445,14783.25302456052,112221.96234900548,332609.03199689026,332624.2261092747,97455.02887062669,119253.56609783921
HD136894,69944.04519279227,69922.00207904364,456357.69053628173,717423.0271128154,448600.0121810109,533561.0083947732,533500.2055430715,670416.9836409964,558493.8474781646,71476.05317585367,421580.6787627022,350109.07916868204,454518.5354504936,510708.4008025576,593030.5798694945,175992.01397975156,208010.41623304613,50438.01509487735,147899.00430203453,368343.33994458686,437508.4173481966,458297.9611689227,14795.688262825215,112213.4924939344,332642.60237234185,332662.0908801091,97444.52353712736,119263.10839765053
HD138573,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD1388,70092.46628171923,70067.39590903379,456356.08010456845,717433.5684827787,448580.91512306134,533451.8157446353,533419.840205048,670441.3947144406,558415.7547870715,71329.89314920624,421413.9440028045,350080.62836027157,454444.6471859152,510644.2419885003,593105.5087131021,176092.25532652327,208036.8512745693,50313.56386402853,147777.1243742047,368220.53734904533,437405.3868802054,458107.50185836386,14775.02444255984,112214.43528766408,332654.3568844175,332657.45719251386,97456.74890551872,119286.69261390982
HD140538,70017.66301670985,69995.68178447896,456333.1610416917,717441.32153471,448609.6557714465,533608.3575020831,533500.5708432855,670402.3591725855,558457.5872659642,71439.82880012562,421543.2103402943,350103.3452108799,454545.1835171623,510707.2278530023,593060.3622016633,176040.5221345156,207981.537955771,50366.90301857155,147833.70619110775,368270.9900293922,437475.8669259413,458179.02101674554,14766.509659025116,112217.70222306854,332661.5158100364,332650.8001400633,97445.6556663744,119283.53704822769
HD140901,69972.41560254486,69960.02774789606,456324.28736581083,717449.9095823736,448557.35173389205,533554.2022498499,533486.3477101402,670398.4980745048,558406.9213763258,71431.54079016884,421494.65003472957,350065.86683627433,454525.4449011786,510700.64929281233,593049.5629610661,176020.5576197928,208043.8536454156,50452.807691079586,147872.52471237362,368319.2152008135,437519.90991906484,458301.147771563,14835.786500695804,112226.79566817824,332670.213379065,332675.88123546785,97396.11185312722,119244.26056259591
HD141937,70072.19348344671,70021.15625316343,456361.2368271576,717442.5364690477,448485.34381114866,533518.0842181882,533483.8881111473,670246.1479882576,558290.657944498,71447.07716532315,421528.3515683724,350081.3037308014,454630.39536635275,510761.41357887426,593092.5033452638,176026.105305204,208005.27558414012,50298.68630870534,147804.25561429095,368288.65194137685,437448.01743510173,458157.49974485545,nan,112258.22074076318,332704.21577625466,332656.3695056694,nan,119371.35018873731
HD143114,70043.52336996658,70049.113100856,456391.7066067056,717379.2388271309,448747.9046616884,nan,533681.3519573933,670586.0494269385,558586.077004808,71440.62456850418,421666.9100557552,350222.0574235484,454564.02614788234,510558.66706309695,593091.7936120135,176112.49235132785,208038.11088889014,50254.83955754634,147746.15203222283,368124.90046080836,437345.84349321836,457903.28714334284,14772.3047237997,112297.8051161739,332661.616501852,332633.756204904,97485.83092475112,119301.3418128069
HD144585,70078.38354937844,70051.77920885566,456323.6908009853,717488.4643166822,448574.48255593196,533480.7926525192,533485.6940387436,670458.0141924465,558401.9991169609,71348.1223563054,421422.1367456212,350067.0650410637,454571.170670833,510732.4737873495,593111.891748076,176076.4379786897,208031.25055363262,50365.77319001238,147806.62867690338,368289.20341685636,437467.6409108985,458081.44171673834,14821.00893853525,112220.00603336157,332683.47424150904,332680.2248677763,97426.75075690453,119277.65952692913
HD1461,70030.27232648479,70011.56698767711,456320.11482397333,717482.2311564125,448581.4545099406,533533.18747825,533503.7218985215,670440.281748078,558398.8139034691,71392.67725570203,421464.7231414977,350071.7436069331,454553.1954498974,510715.9223334885,593102.017160496,176062.3379350699,208026.5419610933,50422.329591685106,147830.80920595684,368307.28485735686,437488.66601085855,458147.75742080447,14835.095090125289,112218.04271949852,332674.8912518419,332681.60393203027,97390.25976416346,119256.60142538151
HD146233,70041.05681494148,70029.17888257623,456327.3724524357,717448.3455490783,448589.16515762894,533512.2710612449,533488.1588401776,670416.0317818405,558396.7048677523,71389.74311024665,421473.12436441454,350081.75838787574,454509.07721082657,510679.9315257848,593087.0434587038,176069.1683268424,208023.49775949828,50362.03619996006,147811.77022845237,368267.8301620021,437460.28044742346,458157.35816994886,14790.394244730993,112210.53948212678,332651.97682961385,332658.78565799334,97426.6594411623,119277.65400880325
HD147512,69961.97548953904,69960.10531632806,456346.8743959208,717446.0440008639,448630.9098132948,533597.1325159941,533545.7062505871,670509.909261831,558508.6796104852,71435.6772723873,421555.3342146922,350120.0584566681,454532.1335043108,510715.89077048225,593061.1137802749,176026.01005412487,208025.7124511533,50397.458370456305,147859.9004657619,368291.211549172,437488.42265083035,458177.7081406446,14849.638934484046,112228.3513446036,332643.8621314161,332669.1415987732,97390.4707407039,119254.46478125137
HD150433,70025.62721765359,69993.49279276155,456358.39170326176,717393.9315715823,448681.8913079785,533561.7828199092,533574.1765862142,670511.4390427783,558532.3212934614,71398.82455314636,421595.93931820116,350215.6109614267,454498.5331401423,510672.8940301829,593108.2485225312,176076.12689273804,207998.14699163724,50269.82694809878,147771.2181477244,368169.57044054323,437375.89950095845,457938.27378477243,14761.210920654992,112215.55315504193,332598.2440018458,332636.37963534537,97486.98323949653,119281.34751810884
HD152391,69972.08637501858,69966.33532000698,456332.68187995476,717436.7956555771,448638.1351700328,nan,533563.089729181,670423.6021670768,558416.2598722901,71425.48488835624,421477.95109924715,350052.495523862,454483.3066851011,510734.5340550121,593015.7514506162,175999.8051941053,208098.20845874722,50563.97572648994,147939.5087680193,368310.9186422297,437540.2228390476,458525.16381008754,14912.470831876793,112293.27386647553,332703.2040748057,332716.8010286693,97396.84301337691,119169.4731301353
